gender,NationalITy,PlaceofBirth,StageID,GradeID,SectionID,Topic,Semester,Relation,raisedhands,VisITedResources,AnnouncementsView,Discussion,ParentAnsweringSurvey,ParentschoolSatisfaction,Do you frequently absent from school?,Class
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,4,1,IT,F,0,1,1,0,1,0,0,1,1
F,KW,KuwaIT,0,4,1,IT,F,0,1,0,0,1,1,0,1,1
M,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,1,7,1,Math,F,0,1,0,0,0,1,1,0,1
F,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,1,1,1,0,1
F,KW,KuwaIT,1,7,2,IT,F,0,1,1,0,1,1,1,0,1
M,KW,KuwaIT,1,7,1,Math,F,0,1,1,1,1,1,1,0,2
M,KW,KuwaIT,1,7,2,Math,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,4,1,IT,F,0,0,0,0,0,0,0,1,0
M,lebanon,lebanon,1,8,1,Math,F,0,0,0,0,0,0,0,1,0
F,KW,KuwaIT,1,8,1,Math,F,1,1,1,1,1,0,0,1,2
F,KW,KuwaIT,1,6,1,IT,F,0,0,0,0,1,1,1,0,1
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,1,0,0,1,1
M,KW,KuwaIT,1,7,1,Math,F,0,1,0,1,1,0,0,1,1
F,KW,KuwaIT,1,7,1,IT,F,1,1,0,1,1,1,1,0,1
M,KW,KuwaIT,1,7,2,IT,F,1,1,1,1,1,1,1,0,2
F,KW,KuwaIT,1,7,1,IT,F,0,1,1,1,1,0,0,1,1
F,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,1,0,0,0,1
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,1,0,0,0,1
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,1,1,1,1,0
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,1,0,1,1,1,0
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,0,1,0,0,1
M,KW,KuwaIT,1,8,1,Arabic,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,1,8,1,Science,F,0,1,1,1,0,1,1,0,1
F,KW,KuwaIT,1,8,1,Arabic,F,0,0,1,1,0,0,0,0,1
F,KW,KuwaIT,1,8,1,Arabic,F,0,0,1,1,1,1,1,0,2
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,1,0,1,1,1,0
F,KW,KuwaIT,0,7,1,IT,F,0,0,0,0,1,1,1,1,0
M,KW,KuwaIT,0,5,1,English,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,1,7,2,Science,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,1,7,1,English,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,1,7,2,Science,F,1,0,0,0,0,1,1,1,0
F,Egypt,Egypt,1,7,1,IT,F,0,1,1,0,1,1,1,0,1
M,KW,KuwaIT,1,6,1,IT,F,0,0,0,0,0,0,0,1,0
F,SaudiArabia,SaudiArabia,1,7,2,Science,F,0,1,1,1,1,1,1,0,1
F,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,1,0,1,0,1
M,KW,KuwaIT,2,9,1,IT,F,0,0,0,0,0,1,1,1,0
F,KW,KuwaIT,2,9,1,IT,F,0,0,0,0,1,1,1,0,1
F,KW,KuwaIT,2,9,1,IT,F,0,0,0,1,1,0,0,0,1
M,KW,KuwaIT,1,7,1,Quran,F,0,0,0,0,1,0,1,1,0
M,KW,KuwaIT,0,5,1,English,F,0,0,0,0,0,0,0,1,0
F,KW,KuwaIT,2,12,1,English,F,1,1,0,1,1,1,1,0,2
F,KW,KuwaIT,2,12,1,English,F,1,0,1,1,1,1,1,0,2
F,KW,KuwaIT,2,12,1,English,F,0,0,0,1,1,1,1,0,1
F,KW,KuwaIT,2,12,1,English,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,2,12,1,English,F,0,0,0,0,1,0,1,1,0
F,KW,KuwaIT,2,12,1,English,F,0,1,1,0,0,0,0,0,1
F,KW,KuwaIT,2,11,1,Science,F,1,1,1,0,1,1,1,0,2
M,KW,KuwaIT,2,12,1,English,F,1,0,1,0,0,0,0,1,0
M,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,0,1,1,1,0
M,USA,USA,1,8,2,Math,F,0,0,0,0,0,1,1,1,0
M,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,0,1,1,1,0
M,KW,KuwaIT,1,7,1,Math,F,0,0,1,0,1,1,1,0,1
F,USA,USA,1,7,1,Math,F,0,0,0,0,0,0,1,0,1
F,Jordan,Jordan,0,5,1,English,F,1,0,0,0,0,0,1,1,0
M,KW,KuwaIT,2,10,1,IT,F,0,1,1,1,0,1,1,0,1
M,venzuela,venzuela,2,10,1,IT,F,1,1,1,1,1,1,1,0,2
M,KW,KuwaIT,2,10,1,IT,F,0,0,0,0,0,1,0,0,1
M,KW,KuwaIT,2,10,1,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,2,12,1,English,F,0,0,0,0,0,0,0,1,0
F,KW,KuwaIT,2,12,1,English,F,0,0,0,0,0,0,0,1,1
F,USA,USA,2,12,1,English,F,1,1,1,0,1,1,1,0,2
F,USA,USA,2,12,1,IT,F,1,1,1,1,0,1,1,0,2
M,Jordan,Jordan,1,7,1,IT,F,0,0,0,0,0,0,0,0,1
M,Jordan,Jordan,1,7,1,IT,F,0,0,0,0,0,1,1,1,0
M,KW,KuwaIT,1,7,1,IT,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,0,0,0,0,0
F,KW,KuwaIT,1,7,1,English,F,0,0,0,0,0,1,0,1,1
M,KW,KuwaIT,1,7,2,IT,F,0,0,0,0,0,0,0,0,0
M,Jordan,Jordan,1,7,1,Quran,F,1,1,1,0,1,1,1,0,1
M,Iran,Iran,2,9,1,IT,F,1,0,1,1,0,1,1,0,1
M,KW,KuwaIT,2,9,1,IT,F,0,0,1,1,0,1,1,0,1
M,KW,KuwaIT,2,11,1,Quran,F,0,0,0,0,0,0,0,1,0
F,lebanon,lebanon,1,7,2,Math,F,1,1,1,1,1,1,0,0,2
M,KW,KuwaIT,1,7,1,Math,F,0,0,0,0,0,1,0,0,0
M,KW,KuwaIT,0,2,1,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,1,1,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,0,1,1,1
M,KW,KuwaIT,0,2,2,IT,F,0,1,1,1,0,1,1,1,2
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,0,0,1,0
M,SaudiArabia,SaudiArabia,0,2,2,IT,F,0,1,0,1,1,1,1,0,2
M,KW,KuwaIT,0,2,2,IT,F,0,0,1,0,1,0,0,0,0
F,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,0,0,0,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,1,1,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,1,1,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,1,1,1,0,1,1,0,2
F,KW,KuwaIT,0,2,2,IT,F,0,1,1,0,0,1,1,0,2
M,USA,USA,0,2,2,IT,F,0,1,1,1,0,1,1,0,2
F,KW,KuwaIT,0,2,2,IT,F,0,1,0,1,0,0,1,1,0
F,KW,KuwaIT,0,2,2,IT,F,0,1,1,0,1,0,0,0,2
F,KW,KuwaIT,0,2,C,IT,F,0,0,1,0,1,1,1,0,2
F,KW,KuwaIT,0,2,2,IT,F,0,0,0,1,0,0,0,0,1
F,KW,KuwaIT,0,2,C,IT,F,0,0,0,0,0,0,0,0,1
M,KW,KuwaIT,0,2,2,IT,F,0,1,0,0,1,1,0,1,1
M,KW,KuwaIT,0,2,2,IT,F,0,1,1,1,1,1,0,0,1
F,KW,KuwaIT,0,2,2,IT,F,1,1,1,1,0,1,1,0,2
F,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,1,1,1,1
F,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,1,1,1,0
F,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,1,1,0,1
M,KW,KuwaIT,0,2,2,IT,F,0,1,1,1,0,1,0,0,2
M,SaudiArabia,SaudiArabia,0,2,2,IT,F,0,0,0,0,0,0,0,1,1
M,KW,KuwaIT,0,2,2,IT,F,0,1,1,1,0,0,0,0,1
F,Jordan,Jordan,0,2,2,IT,F,1,1,1,1,0,1,1,0,2
M,KW,KuwaIT,0,2,C,IT,F,0,1,1,1,1,0,1,0,1
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,0,0,1,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,1,1,1,1,0
F,KW,KuwaIT,0,2,C,IT,F,1,1,1,0,0,1,1,1,1
F,KW,KuwaIT,0,2,C,IT,F,1,0,0,1,0,0,1,0,2
F,KW,KuwaIT,0,2,C,IT,F,1,0,0,0,0,1,1,1,1
M,KW,KuwaIT,0,2,C,IT,F,0,1,1,0,1,0,0,0,1
M,KW,KuwaIT,0,2,C,IT,F,1,0,0,0,1,1,1,0,1
M,KW,KuwaIT,0,2,C,IT,F,1,0,0,0,0,0,0,1,0
F,KW,KuwaIT,0,2,2,IT,F,0,1,1,1,0,1,1,1,1
F,lebanon,lebanon,0,2,2,IT,F,0,1,1,0,0,1,1,0,1
M,KW,KuwaIT,0,2,C,IT,F,0,0,0,0,0,1,0,0,0
M,KW,KuwaIT,0,2,2,IT,F,0,0,0,0,0,0,1,1,0
F,Iran,Iran,0,2,C,IT,F,0,0,0,0,1,1,1,0,1
M,KW,KuwaIT,0,2,2,IT,F,0,1,0,0,0,0,0,1,0
M,KW,KuwaIT,0,2,C,IT,F,0,0,0,0,0,0,0,0,0
M,KW,KuwaIT,0,2,2,IT,F,0,1,1,0,0,1,1,0,0
F,KW,KuwaIT,0,2,C,IT,F,0,0,0,0,0,0,0,1,0
M,Jordan,Jordan,0,2,C,IT,F,0,1,0,0,1,1,1,0,1
M,KW,KuwaIT,0,2,C,IT,S,0,0,0,0,0,0,0,1,0
M,KW,KuwaIT,0,2,1,IT,S,0,0,1,0,1,1,1,1,0
M,KW,KuwaIT,1,7,1,Quran,S,0,1,1,0,1,1,1,0,2
F,Egypt,Egypt,1,7,1,Quran,S,1,1,1,1,1,1,1,0,2
F,KW,USA,2,11,1,Quran,S,1,1,1,1,1,1,1,0,2
F,KW,USA,2,11,1,Quran,F,1,1,1,1,0,0,0,0,1
F,Jordan,Egypt,1,7,1,Quran,F,1,1,1,1,1,0,0,0,2
M,Jordan,USA,1,7,1,Quran,F,1,1,1,1,1,0,0,0,1
M,Tunis,Tunis,1,7,1,Quran,F,0,0,1,0,0,1,0,1,0
M,Tunis,Tunis,1,7,1,Quran,S,0,0,1,1,0,0,0,1,0
M,Tunis,Tunis,1,7,1,Quran,S,0,0,1,1,0,1,1,0,1
M,KW,KuwaIT,1,7,1,Quran,S,0,1,1,1,0,1,1,0,2
M,KW,KuwaIT,1,7,1,Quran,S,0,0,0,0,0,0,0,1,0
M,Tunis,SaudiArabia,1,7,1,Quran,S,0,1,1,1,0,1,0,0,1
F,lebanon,lebanon,1,7,1,Quran,S,1,1,1,1,1,1,1,0,2
F,lebanon,lebanon,1,7,1,Quran,S,0,0,1,1,0,0,0,0,1
F,Jordan,Jordan,1,7,1,Quran,S,0,1,1,1,0,0,0,0,1
F,Jordan,lebanon,1,7,1,Quran,S,1,1,1,1,1,1,0,0,2
M,SaudiArabia,SaudiArabia,2,11,1,Quran,S,0,1,1,1,1,1,1,0,2
M,SaudiArabia,USA,2,11,1,Science,S,0,0,1,1,1,1,1,0,1
F,SaudiArabia,USA,2,11,2,Science,S,0,1,1,1,0,1,0,0,2
M,SaudiArabia,USA,2,11,2,Spanish,S,0,0,1,1,0,0,0,1,0
M,SaudiArabia,USA,2,11,2,English,S,0,1,1,1,0,0,0,1,1
M,SaudiArabia,USA,2,11,2,Math,S,0,1,1,1,1,1,0,0,2
F,Tunis,USA,2,11,2,French,S,0,1,1,1,0,1,1,0,1
M,Tunis,Tunis,2,11,2,Science,S,0,1,1,1,0,0,1,0,1
M,Tunis,KuwaIT,1,7,2,Science,S,0,0,1,1,0,0,0,1,0
F,KW,KuwaIT,1,7,2,Science,S,0,1,1,1,1,1,1,0,1
F,Jordan,Jordan,1,7,2,Science,S,1,1,1,1,1,1,1,0,2
M,Jordan,Jordan,1,7,2,Science,S,1,1,1,1,1,0,0,0,1
F,Jordan,Jordan,0,2,2,French,S,1,1,1,0,1,0,0,0,2
F,Jordan,USA,0,2,2,French,S,1,1,1,1,0,0,0,1,1
M,Jordan,Jordan,0,2,2,French,S,1,1,1,1,0,1,1,1,1
F,Morocco,Morocco,0,2,2,French,S,1,1,1,1,1,1,1,0,2
M,KW,KuwaIT,0,2,2,French,S,1,1,1,1,0,0,0,0,1
M,Tunis,Tunis,0,2,2,French,S,1,1,1,1,0,1,1,0,2
M,KW,KuwaIT,0,2,2,French,S,1,1,1,0,0,1,1,0,2
M,KW,KuwaIT,0,2,2,French,S,1,0,0,0,0,0,0,0,1
M,KW,KuwaIT,0,2,2,French,S,0,1,1,1,0,1,1,0,2
M,KW,KuwaIT,0,2,2,French,S,1,1,1,0,0,0,1,0,1
M,Iran,Iran,0,2,2,French,S,1,0,0,1,0,0,1,1,0
M,Syria,Syria,0,2,2,French,S,1,0,1,0,0,1,1,1,0
F,Jordan,Jordan,0,2,2,French,S,0,1,1,1,0,1,0,1,1
M,Iran,Iran,0,2,2,French,S,0,0,0,0,1,0,0,1,0
M,Tunis,Tunis,0,2,2,French,S,1,1,1,0,0,1,0,0,2
F,USA,USA,0,2,2,French,S,1,0,1,1,0,1,0,0,1
F,lebanon,lebanon,0,2,2,French,S,1,1,0,1,0,1,0,0,2
M,lebanon,lebanon,0,2,2,French,S,1,1,1,0,0,0,0,0,1
F,SaudiArabia,SaudiArabia,0,2,2,French,S,0,1,1,1,1,1,0,0,2
M,Jordan,Jordan,0,2,2,French,S,0,1,1,0,0,0,0,1,0
M,KW,KuwaIT,1,8,1,Arabic,S,1,1,1,1,1,1,0,0,2
F,lebanon,lebanon,1,8,1,Arabic,S,0,0,0,1,1,0,0,0,1
M,lebanon,lebanon,1,8,1,Arabic,S,1,0,0,1,0,0,0,1,0
M,lebanon,Jordan,1,8,1,Arabic,S,1,1,1,1,0,1,1,0,2
M,KW,KuwaIT,1,8,1,Arabic,S,1,1,0,0,1,1,1,0,1
F,KW,KuwaIT,1,8,1,Arabic,S,0,1,1,1,1,1,1,0,1
M,KW,KuwaIT,1,8,1,Arabic,S,1,1,1,1,1,1,1,0,2
F,KW,KuwaIT,1,8,1,Arabic,S,0,1,1,0,0,0,0,0,1
M,KW,KuwaIT,1,8,1,Arabic,S,0,0,0,1,1,0,0,0,0
M,KW,KuwaIT,1,8,1,Arabic,S,0,0,0,1,0,1,1,1,0
M,KW,KuwaIT,1,8,1,Arabic,S,1,1,1,1,1,1,1,0,1
M,Morocco,Morocco,1,8,1,Arabic,S,1,1,1,1,1,0,0,0,1
M,Morocco,Morocco,1,8,1,Arabic,S,1,1,1,1,0,0,0,0,1
M,KW,KuwaIT,1,8,1,Arabic,S,0,0,0,1,0,1,1,0,1
M,KW,KuwaIT,1,8,1,Arabic,S,1,1,1,1,1,1,1,0,2
M,KW,KuwaIT,1,8,1,Arabic,S,1,1,1,1,1,0,0,0,2
M,Morocco,Morocco,1,8,2,Arabic,S,0,0,0,1,1,0,0,1,0
M,KW,KuwaIT,1,8,2,Arabic,S,0,1,1,0,0,0,0,0,1
M,KW,KuwaIT,1,8,2,Arabic,S,1,0,1,1,1,1,0,0,2
F,lebanon,lebanon,1,8,1,Arabic,S,1,1,1,1,0,1,1,0,2
M,KW,KuwaIT,1,8,2,Arabic,S,0,0,0,0,0,1,1,0,1
F,KW,KuwaIT,1,8,2,Arabic,S,0,0,1,1,0,1,0,0,1
M,Jordan,Jordan,1,8,2,Arabic,S,0,0,0,0,0,0,0,1,0
F,SaudiArabia,SaudiArabia,1,8,2,Arabic,S,1,1,1,1,0,1,0,1,2
M,KW,KuwaIT,1,8,2,Arabic,S,0,1,0,1,0,1,1,0,1
M,KW,KuwaIT,1,8,C,Spanish,S,0,0,0,1,0,1,1,0,1
M,Tunis,Tunis,1,8,C,Spanish,S,1,0,0,1,0,0,0,0,1
M,KW,KuwaIT,1,8,C,Spanish,S,0,1,1,1,1,0,0,0,1
M,Jordan,SaudiArabia,1,8,C,Spanish,S,1,0,1,1,0,1,1,0,2
M,KW,KuwaIT,1,8,C,Spanish,S,0,0,1,1,0,0,0,0,1
M,Tunis,Tunis,1,8,C,Spanish,S,1,1,1,1,0,1,1,0,2
M,Tunis,Tunis,1,8,C,Spanish,S,0,0,1,0,0,0,0,1,0
M,KW,KuwaIT,1,8,C,Spanish,S,0,0,1,0,0,0,0,1,0
M,KW,KuwaIT,1,8,C,Spanish,S,0,0,0,1,0,0,1,1,0
M,Iran,Iran,1,8,C,Spanish,S,1,0,0,1,1,1,0,1,1
F,Jordan,KuwaIT,1,8,C,Spanish,S,0,1,1,1,0,1,1,0,1
M,KW,KuwaIT,1,8,C,Spanish,S,1,1,1,1,1,1,0,0,2
M,KW,KuwaIT,1,8,C,Spanish,S,1,1,1,1,0,1,1,0,1
M,lebanon,lebanon,1,8,C,Spanish,S,0,1,1,1,0,1,1,0,1
M,lebanon,lebanon,1,8,C,Spanish,S,0,1,1,1,0,0,1,0,1
M,KW,KuwaIT,1,8,2,Spanish,S,0,1,1,1,0,1,0,0,1
M,KW,KuwaIT,1,8,1,Spanish,S,1,1,1,0,1,1,1,0,2
M,KW,KuwaIT,1,8,2,Spanish,S,1,1,1,0,1,1,0,0,2
M,KW,KuwaIT,1,8,1,Spanish,S,1,1,1,0,0,0,0,0,1
M,KW,KuwaIT,1,8,2,Spanish,S,0,0,0,1,0,0,0,0,0
M,KW,KuwaIT,1,8,1,Spanish,S,0,0,0,0,0,1,1,0,0
M,KW,KuwaIT,2,11,2,Math,S,1,1,1,1,1,1,1,1,2
M,KW,KuwaIT,1,8,1,Spanish,S,0,0,0,0,0,0,0,1,0
M,Iran,Iran,1,8,1,Spanish,S,1,1,0,0,0,0,0,1,1
M,Syria,Jordan,1,8,1,Spanish,S,0,0,0,0,0,1,1,1,0
M,Syria,Syria,1,7,1,Quran,F,0,0,1,0,1,1,1,1,1
F,Jordan,Jordan,1,7,2,Science,S,1,0,1,1,0,1,1,1,1
M,KW,KuwaIT,1,7,2,Science,S,1,0,1,1,1,1,1,1,1
M,KW,KuwaIT,1,7,2,Science,S,0,0,0,0,0,0,0,1,0
M,Jordan,Jordan,1,7,2,Science,S,0,1,0,0,0,0,0,1,0
M,KW,KuwaIT,1,7,2,Science,S,0,1,1,1,1,1,1,1,1
F,KW,KuwaIT,1,7,2,Science,S,1,1,1,1,1,1,1,1,1
M,Egypt,Egypt,1,7,2,Science,S,1,1,1,1,1,1,1,0,2
M,KW,KuwaIT,1,7,2,Science,S,1,1,1,1,1,1,0,0,2
M,Egypt,Egypt,1,7,2,Science,S,0,1,1,1,1,1,1,0,1
M,KW,KuwaIT,1,7,2,Science,S,0,0,0,0,0,0,0,1,0
M,Egypt,KuwaIT,1,7,2,Science,S,0,0,0,1,0,0,0,1,1
M,KW,KuwaIT,1,7,2,IT,S,1,1,1,1,1,1,0,0,2
F,KW,KuwaIT,1,6,1,IT,S,0,1,0,1,1,1,0,0,1
F,KW,KuwaIT,1,6,1,Science,S,0,1,1,1,1,1,1,0,2
F,KW,KuwaIT,1,6,1,Math,S,0,1,0,1,1,0,0,1,1
F,KW,KuwaIT,1,6,1,Quran,S,0,1,0,0,0,0,0,1,0
